Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
OneRepublic,Counting Stars,257839,6sy3LkhNFjJWlaeSMNwQ62,5Pwc4xIPtQLFEnJriah9YJ,USUM71301306
Bailey Pelkman,The Cup Song / I Will,103000,4KKKSHciTNwoZfiHL2QGPC,6Yf66b8yGM70EPGmoPvN0s,USE831582135
Vance Joy,Riptide,204280,3JvrhDOgAt6p7K8mDyZwRd,10exVja0key0uqUkk6LJRT,AULI01385760
SZA,20 Something,198160,4h6ViRoztTBpWcJ1zFT9Zg,7tYKF4w9nC0nq9CsPZTHyP,USRC11701132
Against Me!,I Was a Teenage Anarchist,195160,5UwGMbEKlvXFj7DXI1d0P1,29lz7gs8edwnnfuXW4FhMl,USME31100591
George Harrison,What Is Life - Remastered 2014,264413,76TpWFiK5YCgw1hy26DWZp,7FIoB5PHdrMZVC3q2HE5MS,GB77R1400029
