Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
Strawberry Alarm Clock,Incense And Peppermints,167453,16iApoNZYaN6gbMtRRVV6B,1nyQBzKgZ2hBLr7PnyV7cI,USMC10201063
Stompin' Tom Connors,Sudbury Saturday Night,143240,4u0dd6dDgbmsrq19dNFC60,1rOI6HUtD1IR5lbXSbpwQH,CAS217200012
Jackson Browne,Running on Empty,291893,6aqm56xP40foYBBtAWWrnY,5lkiCO9UQ8B23dZ1o0UV4m,USEE10900486
Lionel Richie,All Night Long (All Night) - Single Version,260426,2Wb9ejnmy27DUTUe9YF5Ew,3gMaNLQm7D9MornNILzdSl,USMO18390005
Smokey Robinson,Cruisin',270400,3eUGTvLXPESTsd3jsyDWjg,0h9smro0z3HqUbD94jotU8,USWWW0142447
Gladys Knight & The Pips,Midnight Train to Georgia,280093,6UaocmOO1bO7YwfHv9Kqcy,0TF2NxkJZPQoX1H53rEFM1,USBR17300001
The Temptations,The Way You Do The Things You Do,159680,0OXN4SIRlD2SDwXb80qtZr,3RwQ26hR2tJtA8F9p2n7jG,USMO16400258
Stevie Wonder,Sir Duke,234093,4RQgqR09VmHn345vRhKQ6T,7guDJrEfX3qb6FEbdPA5qi,USMO17600526
Stevie Wonder,My Cherie Amour,173306,5ZoDwIP1ntHwciLjydJ8X2,7guDJrEfX3qb6FEbdPA5qi,USMO18500078
Marvin Gaye,Sexual Healing,239800,7nVzOpFNZVFZtbq3OGJHX9,3koiLjNrgRTNbOwViDipeA,USSM19803028
Stevie Wonder,Part-Time Lover - Single Version,222400,2mQAEGJforwYykwmMIvSLo,7guDJrEfX3qb6FEbdPA5qi,USMO10000361
Marvin Gaye,What's Going On,233293,42PyxnviKRfOa8z39g8aZj,3koiLjNrgRTNbOwViDipeA,USMO17100041
The Ronettes,Be My Baby,160906,2G2YzndIA6jeWFPBXhUjh5,7CyeXFnOrfC1N6z4naIpgo,USQX91100088
The Mamas & The Papas,California Dreamin' - Single Version,162373,4s6LhHAV5SEsOV0lC2tjvJ,1bs7HoMkSyQwcobCpE9KpN,USMC16532697
John Lennon,Beautiful Boy (Darling Boy) - Remastered 2010,245693,5URfZHMlUWTWxPvvSBWcPk,4x1nvY2FN8jxqAFA0DA02H,USTO11000021
Yusuf / Cat Stevens,"If You Want To Sing Out, Sing Out",166533,4Z9EiwXhzf60PHe6hMWZsD,08F3Y3SctIlsOEmKd6dnH8,GBAAN8400009
The Doobie Brothers,Listen to the Music,227266,7Ar4G7Ci11gpt6sfH9Cgz5,39T6qqI0jDtSWWioX8eGJz,USWB10000626
Frankie Valli & The Four Seasons,Sherry,152160,0NpvdCO506uO58D4AbKzki,6mcrZQmgzFGRWf7C0SObou,USRH10175197
Neil Sedaka,Breaking Up Is Hard to Do,136093,64UJ810pLNwurMLRCPJPoa,5N6GwJzOcOY5kv8p0NjhYL,USRC19901068
The Tokens,The Lion Sleeps Tonight (Re-Recorded / Remastered),162133,5PXOWSSbx6YrMmFeM8AmSE,1GAJzApRTMmYZ9EjQ91VOy,USA370987989
Elvis Presley,Don't Be Cruel,122533,2NJbNGljm9WXqHGKY5MnrE,43ZHCT0cAZBISjO8DG9PnE,USRC10200073
The Righteous Brothers,Unchained Melody,216346,0s9zhya2wN7wOIU636orsF,4b0WsB47XCa9F83BmwQ7WX,USPG16590023
Martha Reeves & The Vandellas,Jimmy Mack,163733,7N3UAu6FkwdBg9J7OONBBP,1Pe5hlKMCTULjosqZ6KanP,USMO16700280
Sam Cooke,Bring It On Home to Me,162533,0WVTQp3SOCuMr08jh1jweV,6hnWRPzGGKiapVX1UCdEAC,USRC16206739
Sam Cooke,A Change Is Gonna Come,191160,0KOE1hat4SIer491XKk4Pa,6hnWRPzGGKiapVX1UCdEAC,USA176420220
Sam Cooke,Twistin' the Night Away,159853,7FS541dJh3iQAEXEZoDhE6,6hnWRPzGGKiapVX1UCdEAC,USRC16107214
The Clovers,Love Potion No. 9 - Remastered / Single Version,113200,5ytPMYb6dkoli8sNSEsdmZ,0ckkj0a9CvIJr4h84B0OlN,USEM39100219
The Coasters,Yakety Yak,113040,7demHL0GXA6YmTNqw3Btz8,3QZKZBEmr54lAVI5XvmjnM,USAT20102479
The Coasters,Charlie Brown,141666,6Q0aBakbTsjQO6iGdxmXlx,3QZKZBEmr54lAVI5XvmjnM,USAT20102480
The Coasters,Poison Ivy,164320,5y3EUvXJouxlUk5FLOblFB,3QZKZBEmr54lAVI5XvmjnM,USAT20102482
Buddy Holly & The Crickets,I Fought The Law,133613,00DulWubRZSZewFlk9nm68,15jBNfRUPUgdZOTSaNoF5l,USMC15947469
The Coasters,Down in Mexico,196466,4OnqJ1ml4Jgr5AAKNrrYCD,3QZKZBEmr54lAVI5XvmjnM,USAT20102486
Danny & The Juniors,At The Hop,150866,4LcrHUkRmXG3c0YD5VYutn,6Ahm6X9wSKXitavOvu0XzY,USMC15919927
Dion & The Belmonts,I Wonder Why,141386,7vAw4LLIms6X8ZHcbtoazz,2loYllWFfoWpoxC5YrJKc4,USLA19200009
