Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
Nitty Gritty Dirt Band,Fishin' in the Dark,202786,7lJbTVbDEMa3w7NFamrwdq,7y70dch6JuuuNnwlsOQvwW,USWB10101477
Collin Raye,I Think About You,207133,5HnQOKyufF35sNeQAVRvVs,4AwLiAGc1rRLrCepj5rdTI,USSM19500305
Collin Raye,"Love, Me",231626,3aKAdHDxhYu2gpbQMYSEkv,4AwLiAGc1rRLrCepj5rdTI,USSM10003064
Emerson Drive,Fall Into Me,168866,2bVFvGBU2ihWJgMRPcav5r,1efrXlPhLKv7PvgUxVcqIS,USDW10200103
The Chicks,Cowboy Take Me Away,287266,3rXCZRMiMZp0feGcYXpwYX,25IG9fa7cbdmCIy3OnuH57,USSM19901550
The Chicks,Ready to Run,231293,7yNTZj1ugKCeRJdSP1meOk,25IG9fa7cbdmCIy3OnuH57,USSM19806736
The Chicks,If I Fall You're Going Down with Me,183200,2MMZ1Llts0rTaU834P2Xct,25IG9fa7cbdmCIy3OnuH57,USSM19901547
Dan Seals,Bop,226266,0VWPd2zYt1430jL6XtUjep,55yEsJBqyn27JPsw5hHzqi,USCN18600066
Wynonna,No One Else On Earth,255400,52PGtJuGEFNVOnRdLac1Av,4yiXkMbxDIZ3jgEG89NSC1,USCRB0405962
Johnny Horton,The Battle Of New Orleans,151626,0dwpdcQkeZqpuoAPYD49N3,1bBZcz4jP7CoPlqpCFh4gz,USSM19916424
Buddy Jewell,Sweet Southern Comfort,212906,0tuEEuDijBNJxcLSIrMNsU,43c94u7flZbHSdDaUuohqS,USSM10307292
Sawyer Brown,Some Girls Do,194320,37JPdGgYcQAJSElj5boJx8,50hFWG3MaUUX5phNrrVc97,USCRB0000642
Steve Azar,I Don't Have To Be Me ('Til Monday) - Single Version,196960,5v1bA7NmQcQHvH9IDkeeF4,6x9fdTmlcJVJtChlLgT1G3,USMR10110249
Travis Tritt,Modern Day Bonnie and Clyde,284173,58rdbCe3SBJuJeWEJa8Htm,2M4Yt7oKGoYd0wqU44k4i2,USSM10012737
Alan Jackson,Drive (For Daddy Gene),242733,1FV374EPG5CrjdIbIMLkcv,4mxWe1mtYIYfP040G38yvS,USAN20100225
Trisha Yearwood,She's In Love With The Boy - Single Version,248200,2ulBBx6YQ3qY3ci34RadtN,3XlIhgydjvC4EniPFZT20j,USMC19135287
Trisha Yearwood,XXX's And OOO's (An American Girl),167906,08c3wmdjKSjxTJY9cHSts7,3XlIhgydjvC4EniPFZT20j,USMC19443152
Trisha Yearwood,Walkaway Joe,260533,5pzoq7ggrA0GN3SMjy0NT8,3XlIhgydjvC4EniPFZT20j,USMC19238646
Alabama,Song of the South,190800,2uX5f3x2cObov0iDAPln4o,6rJqqRce0Kvo2dJUXoHleC,USRN18800032
Alabama,Dixieland Delight,317293,0rJ9WlbIt2LTwAHpCQQmGy,6rJqqRce0Kvo2dJUXoHleC,USRN10503943
Alabama,Roll On (Eighteen Wheeler),264973,7Fhgor5m0lekhS0jw4jklT,6rJqqRce0Kvo2dJUXoHleC,USRN19600092
Alabama,High Cotton,180320,2KEu2z1f7TakR3KY4jGLzl,6rJqqRce0Kvo2dJUXoHleC,USRN18800034
Jo Dee Messina,Bye-Bye,200960,5FxgRnXBHMM0q4stwqrjjM,3ltFy7g6KKQPPttsdOMlq3,USCRB0101077
Travis Tritt,T-R-O-U-B-L-E,180160,5YY64mW5PL5waJKUsIJIQt,2M4Yt7oKGoYd0wqU44k4i2,USWB19900120
Faith Hill,The Secret of Life,254746,5wYgJcEdKam1nYSybFuOIe,25NQNriVT2YbSW80ILRWJa,USWB19800127
Faith Hill,Let's Go to Vegas,191706,39HccIrICWp9EBD8MunAUW,25NQNriVT2YbSW80ILRWJa,USWB19500887
Faith Hill,Sunshine and Summertime,207173,2TmD4OyEl5WyhXR6wIia6m,25NQNriVT2YbSW80ILRWJa,USWB10503096
The Chicks,Landslide,230549,5hviCr3lgg6LY6noG6DPKs,25IG9fa7cbdmCIy3OnuH57,USSM10209587
Collin Raye,I Can Still Feel You,219893,6NrUzuNell8qCfuNoSgey4,4AwLiAGc1rRLrCepj5rdTI,USSM19703949
Collin Raye,I Think About You,206506,31zLkaElQKtj8hDigVB31n,4AwLiAGc1rRLrCepj5rdTI,USSM19500305
Faith Hill,If My Heart Had Wings,215733,7CWUSZqFXxoWrOCP5I3tpd,25NQNriVT2YbSW80ILRWJa,USWB19902560
Alabama,I'm in a Hurry (And Don't Know Why),168813,29nNU80zu0vscbrvTi55mG,6rJqqRce0Kvo2dJUXoHleC,USRN19400224
Marty Stuart,Tempted,193173,0zfwY9c8RGR0Z32u1Ouu9C,3OyGv7XUYQwQgECYSzJhyO,USMC19033242
Linda Ronstadt,"Poor, Poor Pitiful Me",220800,6GXnW8Dd8zWsXoPrElcTGr,1sXbwvCQLGZnaH0Jp2HTVc,USEA20100038
David Lee Murphy,Dust On The Bottle,224666,0Xg68XXMRWzKQvD5S6BFvI,78OAtwN3XpjMcjibnF2Kw5,USMC19442281
Toby Keith,How Do You Like Me Now?!,209066,7rDcULv8vV16vetBjPJhuE,2bA6fzP0lMAQ4kz6CF61w8,USDW19920901
Emilio,Stuck On Your Love,165040,2Uw6Ky2bw2sd5Hel6Xfflj,7wY6NNzF6uaVwy2rWh9Htx,USCN19600020
Duane Steele,Stuck On Your Love,209826,0Tk3SVp2j6yU6j8EdZsdBC,50kD5UOKnak8BNCKkMP92e,CAC089600010
Deana Carter,Strawberry Wine,291533,5Pgwi0iizu96RHxJ4xL3SH,0aqrM7Fo3Ml66Kc5JAzmjt,USCN19600104
Shania Twain,Any Man Of Mine,246760,0pdfN7nOHMYmKykzu1cyfm,5e4Dhzv426EvQe3aDb64jL,USPR39402722
Martina McBride,Independence Day,204626,1nVoLxz8C0uGgMKfywy0vf,3P33qFNGBVXl86yQYWspFj,USRN19300456
Diamond Rio,Meet In the Middle,199306,54IVZuV4cKZjPzMGmotcUy,0svyIX7Xu3DVMkrOtB88i6,USAN29600071
The Chicks,Wide Open Spaces,223832,6cjwec9ii5uLK7CDfPBYt1,25IG9fa7cbdmCIy3OnuH57,USSM19702920
Pam Tillis,Maybe It Was Memphis,239173,3wjD3Ufjll7UKrEDPdGuX3,1SX44N5qjWuFcCK8WTO0c6,USAN29600058
Toby Keith,Should've Been A Cowboy,208413,18BajNiyvH6GpYshB0unrm,2bA6fzP0lMAQ4kz6CF61w8,USPR39402268
Sammy Kershaw,She Don't Know She's Beautiful,174626,2oyS4THTUzUxT2lnHGzzIr,3tkZthBATD0S45hm1DmB2O,USPR39302705
George Strait,Check Yes Or No,200666,6iy4PoAuZBMvtrlDX4VxC7,5vngPClqofybhPERIqQMYd,USMC19545021
Tim McGraw,Where The Green Grass Grows,201600,0nDjzA4kns1QOWPXuOn6Xw,6roFdX1y5BYSbp60OTJWMd,USCRB0000765
Faith Hill,This Kiss,194306,5EYWGM3Ns3iYew8ws0FatB,25NQNriVT2YbSW80ILRWJa,USWB19701735
Jo Dee Messina,Lesson In Leavin',220200,2g0BAZVaLlK8GeTVzF6hQ6,3ltFy7g6KKQPPttsdOMlq3,USCRB9900217
Reba McEntire,The Night The Lights Went Out In Georgia,257266,2MiXC2LfpsoeUP5RvMGEQ3,02rd0anEWfMtF7iMku9uor,USWWW0121593
Chely Wright,Single White Female,197880,3rDYYPicaQbT2rcpdfqQF9,1aSIXmBKKrEVIbGLwhedIe,USMC19801479
Randy Travis,Deeper Than the Holler,219080,3xx0jE52PbtvwXgNaBUdch,1pTuR132U5b4Rizal2Pr7m,USWB18800028
The Chicks,There's Your Trouble,193064,69m9WDPBvemwujQwdONslk,25IG9fa7cbdmCIy3OnuH57,USSM19702922
Faith Hill,The Way You Love Me,186066,6vgN6KGstss0GnBbKlMNK9,25NQNriVT2YbSW80ILRWJa,USWB19902557
Deana Carter,We Danced Anyway,202533,4fOFOwrAHA9PdhOL7lciok,0aqrM7Fo3Ml66Kc5JAzmjt,USCN19600080
Lee Ann Womack,I Hope You Dance,294533,65B1tEOv5W294uCKbmEcFV,738OS3zrCO782uDiUN9pet,USMCN0000018
Martina McBride,My Baby Loves Me,154960,01RVupyBFNuALcAFZjL4FY,3P33qFNGBVXl86yQYWspFj,USRN19300453
Randy Travis,"Forever and Ever, Amen",212640,1ipcb9qXpSHWhSUvdxJhsx,1pTuR132U5b4Rizal2Pr7m,USWB18700025
Tracy Byrd,Watermelon Crawl,181973,3Q9t1A12iUemHTAWnH7PjD,0xxJO75NeIAF5jYruLYIDT,USMC19442317
Shania Twain,No One Needs To Know,183960,4vbW5aT9UQGRqEScStQPPy,5e4Dhzv426EvQe3aDb64jL,USPR39402731
Tracy Lawrence,Time Marches On,185360,2TIEeLrOQrGnO2D2OeDDJu,2BQVRw9md4UKcGUrDXABCD,USAN19600003
Travis Tritt,It's A Great Day To Be Alive,241533,3oW6SWwGqiZSPTiAp7ZQoH,2M4Yt7oKGoYd0wqU44k4i2,USSM10012734
Mindy McCready,Guys Do It All the Time,191800,0uZRJmWi1TH3wrAN7hAbyF,2uB5sjjJwj4kB6TrRGLYJO,USBN19600027
The Chicks,I Can Love You Better,233915,2VBSOgBcnLHkfat8P2VGvf,25IG9fa7cbdmCIy3OnuH57,USSM19702919
Brooks & Dunn,Neon Moon,263760,3EUl8M6SzxZl03NPkB8mUd,0XKOBt59crntr7HQXXO8Yz,USAN20900069
George Strait,Carrying Your Love With Me,232426,7puxIVNdj5nsBJk43zM3bH,5vngPClqofybhPERIqQMYd,USMC19651574
Tim McGraw,Just To See You Smile,215173,2op0kDNARK2VHWHntEeH4g,6roFdX1y5BYSbp60OTJWMd,USCRB0000763
Clay Walker,If I Could Make a Living,134373,7njoWVpJbAiTkyT6rKwbze,4MPkNgar5uTd8Sqvrr7par,USGI19400024
Kenny Chesney,She's Got It All,205093,4l8u5h7OjkZo2UmyUoeKYJ,3grHWM9bx2E9vwJCdlRv9O,USBN19700032
Shania Twain,Whose Bed Have Your Boots Been Under?,238773,2ugGNNwNaJdiusX3aLOMUy,5e4Dhzv426EvQe3aDb64jL,USPR39402723
Hal Ketchum,Small Town Saturday Night,177986,7uLQTOxQ3nwwoHuxwt2AHJ,6Pys4xsyQVA5ZjkN2Ka2S7,USCRB9900351
Gordon Lightfoot,The Wreck of the Edmund Fitzgerald,389280,536L9C0N7vhYdibCJx3cI2,23rleGXVOVVgTk3xgtmfE4,USRE10901163
John Denver,Thank God I'm a Country Boy,193093,69HICMmc6nNLucAx3aJX9M,7EK1bQADBoqbYXnT4Cqv9w,USRC17407659
Brooks & Dunn,Red Dirt Road,260360,3EZzghqykkfOB0Z8d0kTSt,0XKOBt59crntr7HQXXO8Yz,USAN20200059
Darius Rucker,Wagon Wheel,298373,3xdjjKMcMOFgo1eQrfbogM,7FY5V3XMwlNBPitEjXowHQ,USCN11200248
Billy Ray Cyrus,Achy Breaky Heart,203373,2EoIt9vdgFRNW03u5IvFsQ,60rpJ9SgigSd16DOAG7GSa,USPG19290113
Jerry Reed,Amos Moses,139226,7zVZF0OgDJkFJohnlKwEpa,3kvy8do7n0qVqvlNFS4yOF,USRN19500152
