Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
A Touch Of Class,Around the World (La La La La La) - Radio Version,214533,7CvOnbFdnIoXMQ4eFCo5lB,5wTdspmxzb8V4ZjvDodpBo,DEP810000008
2 Unlimited,No limit - RAP VERSION,224220,5sqf1N65NUzVXVAwjgOVJg,18JD8DVlD1fakDAw7E9LFC,BEAA19305003
Eurodance Addiction,Mr. Vain,259933,5lLLHfFD4uq1AksFGKlGVs,5hySCdMlNPlrOW4csOsGyQ,FRY510881965
Eurodance Addiction,Rhythm Is a Dancer,205160,4oZVkwkmihuAXHx2zZfDgO,5hySCdMlNPlrOW4csOsGyQ,FRY510881915
Eurodance Addiction,Be My Lover,236560,1vS49yTGhkVqU3I50FtEBV,5hySCdMlNPlrOW4csOsGyQ,FRY510881918
Eurodance Addiction,Scatman,201626,1DjTtEiORral1T6MWZXkwP,5hySCdMlNPlrOW4csOsGyQ,FRY510881946
Eurodance Addiction,Coco Jamboo,221186,3zC8XjoovwJXDG8nZFtnBq,5hySCdMlNPlrOW4csOsGyQ,FRY510881366
Eurodance Addiction,Piece of My Heart,245226,2KGVoITWFQKCmMB06mjcKi,5hySCdMlNPlrOW4csOsGyQ,FR0W61869072
Eurodance Addiction,Doctor Jones,196066,5NAtZTAj5LmvAmZxXJYwm5,5hySCdMlNPlrOW4csOsGyQ,FR0W61877560
Eurodance Addiction,Blue (Da Ba Dee),204293,2Jgu6nlPz18EfDe9JngKDC,5hySCdMlNPlrOW4csOsGyQ,FR80T1393170
Eurodance Addiction,Macarena,233253,70GfdLHiKchc1PeABr0DwJ,5hySCdMlNPlrOW4csOsGyQ,FR80T0200669
Eurodance Addiction,Pump Up the Jam,215533,73SVKPBriNVSbmHwVeWZUX,5hySCdMlNPlrOW4csOsGyQ,FRY510881955
Eurodance Addiction,This Is How We Party,205253,2qdFrq9DTa2ZFJqS3UmNZA,5hySCdMlNPlrOW4csOsGyQ,FR0W61861854
Eurodance Addiction,Feel the Heat of the Night,219533,1dkKFIC72k13vBrog1TL4E,5hySCdMlNPlrOW4csOsGyQ,FRY510881969
Eurodance Addiction,Sing Hallelujah,239693,0JgQnTrhqCwoThAsE5tGBM,5hySCdMlNPlrOW4csOsGyQ,FR0W69970101
Eurodance Addiction,Get Up,209333,0NgivJo5AgN0mGNAKk2qHq,5hySCdMlNPlrOW4csOsGyQ,FRY510881974
Eurodance Addiction,Freed from Desire,213946,1lRdvbVTfuoNezVFnlF3mG,5hySCdMlNPlrOW4csOsGyQ,FRY510881912
Eurodance Addiction,Where Do You Go,273346,1KEQFK8WgocOGFT7jpuspQ,5hySCdMlNPlrOW4csOsGyQ,FRY510881949
Eurodance Addiction,Please Don't Go,196506,02CtUfzxrTwxjxC8PZqAHM,5hySCdMlNPlrOW4csOsGyQ,FRY510881963
Eurodance Addiction,Pump up the Jam,215533,0UNcj1ETI3osFy4xPjFzyP,5hySCdMlNPlrOW4csOsGyQ,FR0W61863211
Eurodance Addiction,Stay,214160,59puiQRGCjnROX16IxhCbk,5hySCdMlNPlrOW4csOsGyQ,FRY510881971
Eurodance Addiction,We Like to Party,220680,21J07yCoK5XuVjUYOF6PHa,5hySCdMlNPlrOW4csOsGyQ,FRY510881937
Vengaboys,We like to Party! (The Vengabus) Six Flags,222458,77j9HOrxUpWcjwra9jgvio,0cwmNvclzPd8mQnoHuIksj,NLC520811111
Vengaboys,"Boom, Boom, Boom, Boom!!",202570,2Ld2LehpgQNREMxl9LlIzm,0cwmNvclzPd8mQnoHuIksj,NLC529811150
Eurodance Addiction,Saturday Night,225600,66gWNurK5KTXuNGob5VMUp,5hySCdMlNPlrOW4csOsGyQ,FRY510881917
Eurodance Addiction,Tribal Dance,221240,6yrdBNkKLIR8GSBy6mj3EK,5hySCdMlNPlrOW4csOsGyQ,FRY510881943
The Shamen,Ebeneezer Goode - Beat Edit,234786,3iGUZpRS1UGX39XBdNvSmU,5E704N5StxMVKpalhaJ5L3,GBBTF9200004
S Club 7,Reach - Radio Edit,243266,6vkkluJq72ahHSZNe3ZAiL,1kM5rgJvkiDMOoKX56H6pX,GBCVL9900051
S Club 7,Bring It All Back,214400,3v0uXfyMEZ1lGvBOv1Y4ar,1kM5rgJvkiDMOoKX56H6pX,GBCVL9900001
S Club 7,Have You Ever,201533,4Xm0G6DRlWUjCgpKh5OPyv,1kM5rgJvkiDMOoKX56H6pX,GBCVL0100019
S Club 7,Two In A Million,211200,3JV17jq7Ou2X6jENvAyJ46,1kM5rgJvkiDMOoKX56H6pX,GBCVL9900008
Aqua,Roses Are Red - Original Version,225733,4qZwVr553XcQNdeqjueeE3,6kBjAFKyd0he7LiA5GQ3Gz,DKBKA9700409
Aqua,Calling You,212306,1XBeAFlFPbct5CUg7EQRx1,6kBjAFKyd0he7LiA5GQ3Gz,DKBKA9700411
Aqua,Happy Boys & Girls,216200,2XDwu2lUdY4B5ZSWkeV3RZ,6kBjAFKyd0he7LiA5GQ3Gz,DKBKA9700401
Aqua,My Oh My,204720,3vV2Gu4JlRaeHfJxg2Z1dk,6kBjAFKyd0he7LiA5GQ3Gz,DKBKA9700402
Aqua,Good Morning Sunshine,244040,4sxkeTGDUH8uRQcq4ptSYR,6kBjAFKyd0he7LiA5GQ3Gz,DKBKA9700404
Aqua,Heat Of The Night,215040,7osuqblnTNMGTWKjD9LcTM,6kBjAFKyd0he7LiA5GQ3Gz,DKBKA9700406
Aqua,Be A Man,263026,3WB7fLHT9HxUW5tBTGYC43,6kBjAFKyd0he7LiA5GQ3Gz,DKBKA9700407
Aqua,Lollipop (Candyman),216706,5tnqSEWM3EKoEtjSZpmHcH,6kBjAFKyd0he7LiA5GQ3Gz,DKBKA9700408
E-Type,This Is The Way - Radio Edit,235293,1wLeiJDlHahLbMo9dsIXaF,53I4RAzuXWvaO1vzrCBJbD,SEBKA9425040
E-Type,Angels Crying,230440,5E5iD6wpxcBw6J9VemdWGd,53I4RAzuXWvaO1vzrCBJbD,SEBKA9813010
Melanie C,I Turn To You,352173,1Le4SDanBrX8OtmnnyTNrh,60vX3zLcdKRXvKLITVh5Df,GBAAA9900728
Mr. President,Coco Jamboo,218733,5fRvePkRGdpn2nKacG7I6d,7KBkgunlONG7LPxs93pgpp,DEBS80500020
