Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
The Monkees,I'm a Believer - 2006 Remaster,167373,3G7tRC24Uh09Hmp1KZ7LQ2,320EPCSEezHt1rtbfwH6Ck,USRH10651278
Gordon Lightfoot,For Lovin' Me / Did She Mention My Name,209400,0YUnMUqFw9DCin6QoskGtw,23rleGXVOVVgTk3xgtmfE4,USRE19900453
Stampeders,Sweet City Woman,207426,52SCT6ImFklqEhH21lgErO,39uv7qSNwIoaAtWNioWnxp,CAU117100657
Burton Cummings,Stand Tall,272293,14IKLtPlsqWL077svIJYey,5ziVRv2caoBDNG2fythJ2n,USSM10003989
Burton Cummings,Break It To Them Gently,274666,4KxzOViQQbZpPa7WukYiIx,5ziVRv2caoBDNG2fythJ2n,USSM10003970
Peter Gabriel,Games Without Frontiers,246973,4TVnzZW8dIPjMjg5e8gKhH,7C4sUpWGlTy7IANjruj02I,GBCPB0900660
