Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
Extreme,More Than Words,334106,1gVgkQFOKa8Wc1HYsJtPdH,6w7j5wQ5AI5OQYlcM15s2L,USAM19090005
Daniel Caesar,Best Part (feat. H.E.R.),209831,1RMJOxR6GRPsBHL8qeC2ux,20wkVLutqVOYrc0kxFs7rA,CADDS1700022
Sting,Fragile,236306,5oE6INocVL9viDow5y8QNM,0Ty63ceoRnnJKVEYP0VQpk,USAM18700043
Sting,Fields Of Gold,222120,0I1DJdLt9BKOb7GWmWxCjo,0Ty63ceoRnnJKVEYP0VQpk,GBAAM9390003
The Verve,Lucky Man,293586,2mxPSHEwjJWOQS7lGw6btF,2cGwlqi3k18jFpUyTrsR84,GBUM71601824
O.A.R.,Peace,215915,2xwsf9FuFINP1X4FTsqZ7Q,1Cq0LAHFfvUTBEtMPXUidI,USVG21403507
Semisonic,Singing In My Sleep,270933,7ra0Uf8XtNk8Uky4gip5yW,1TqQi97nqeiuOJrIFv5Sw0,USMC19857419
COIN,Hypnotica,191560,10mWZVM0ybyvhqBeocBGmI,0ZxZlO7oWCSYMXhehpyMvE,GBKPL2149089
Bartees Strange,Boomer,197521,4e3PRRhCQke1hbdVfNvkQd,6Gl4Q3ePw6HKMfIOix5QpG,QMCE71302891
