Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
Palace Music,New Partner,234200,6N3NBd2vrhbH5m8ZHFO6xI,2l7DkzVuYJW700mR7r43un,US58L0806507
Wreckless Eric,Whole Wide World,172733,4AHU8QRdwCUWxPC53cw4Hh,46mRV6kvhsGvih0dMKktto,GBAHW0500153
Aperture Science Psychoacoustic Laboratories,Still Alive,177212,0Nrw0vKim2z4dph1jsxvye,7d58WZ8qQHy2Sm5p52V2NP,USA561361618
The Beach Boys,Good Vibrations - Remastered 2001,219026,5t9KYe0Fhd5cW6UYT4qP8f,3oDbviiivRWhXwIE8hxkVV,USCA20100360
Justin Timberlake,SexyBack (feat. Timbaland),242733,0O45fw2L5vsWpdsOdXwNAR,31TPClRtHm23RisEBtV3X7,USJI10600269
Peaches & Herb,Shake Your Groove Thing,346133,5o89Bf80t8ko3uNXJkYoVs,6qI4LTzMRpTxRzMZPvv2C6,USF067825160
Old Gods of Asgard,Take Control,473499,0uYPsl955ngOyNBzfp0EYg,4BMtxSIHPpG1WM2TbvNjiR,FIP9F1900007
The Coasters,Yakety Yak,113040,7demHL0GXA6YmTNqw3Btz8,3QZKZBEmr54lAVI5XvmjnM,USAT20102479
Toni Basil,Hey Mickey,252885,5G9KcZaxfCysfv4EryCB9b,59hMeIYY3k3NoX54rrVGPv,uscgh2048065
