Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
4Minute,I My Me Mine,206640,4MJkyKv600tpAwihqFN6uC,6cdC1cwqh3eJAXaxXJt2jv,KRA391000086
The Wanted,Lightning,203760,61ubI9pEllilZGV9KcTry9,2NhdGz9EDv2FeUw6udu2g1,GBUM71107563
Miley Cyrus,Wrecking Ball,221360,2vwlzO0Qp8kfEtzTsCXfyE,5YGY8feqx7naU7z4HrwZM6,USRC11301214
Kelly Clarkson,Stronger (What Doesn't Kill You),221946,6D60klaHqbCl9ySc8VcRss,3BmGtnKgCSGYIUhmivXKWX,GBCTA1100364
R3HAB,Creep - mint Singles,161190,5LRxdeykOfvKb1aWGrrGyo,6cEuCEZu7PAE9ZSzLLc2oQ,NLW4L2000268
