Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
Stan Rogers,The Mary Ellen Carter,305373,0QADWIcN6WE6EypuM0ghLg,3cS04S9ChhEClgDghrhOzg,CAFB50700204
Great Big Sea,What Are You At,190493,0Jvr2BONra1KAwfuD6dV2U,0GxOdKrtD5oUmQROcCs8M4,CAW111200204
Harlequin,Innocence,259493,2ZqyqsV8VdEEm15vBQ4wZn,0smN8u44ukjtKdu5eLMQnF,CAE248600003
CHVRCHES,Bow Down,278267,1F5ReQ6nstlFaOJPtJzFmW,3CjlHNtplJyTf9npxaPl5w,GBZN81500013
Foo Fighters,The Pretender,269373,7x8dCjCr0x6x2lXKujYD34,7jy3rLJdDQY21OgRLCZ9sD,USRW30700007
The Offspring,"You're Gonna Go Far, Kid",177826,6TfBA04WJ3X1d1wXhaCFVT,5LfGQac0EIXyAN8aUwmNAQ,USSM10801605
