Track Number,Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
0,Cellar Darling,Avalanche,248053,76P0knKTbw53IhRwWXFZt8,29TiA5JlE8qICyOYEvyvGR,DED831700583
1,Delain,April Rain,276973,0nJBiQvsxTbxTz5JHcvTBu,6pIRdCtSE5hLFfIfcTAicI,NLA320888370
2,Elysion,Made of Lies,199066,1w8r3PAxPPLfcuyRsC4BeA,5yxZeKeX0FcaT6OlOnx52v,DER371485601
3,Lacuna Coil,Reckless,185066,5LudgNwTAhX2sjfzdpLyAD,4OAddazJM576euUnFSvXSL,GBDHC1910703
4,Xandria,Nightfall,236066,11cNOWtNFMAYSj31xDdXkP,1jzIEzXVJ4p1kFDmio6LEL,ATN261453402
5,Exit Eden,Impossible,246626,0GN64umtfhqwlq3aHNyByW,3h9p6ezLoqYJ0viEfqGE4j,DEQR41700673
6,Dismal,Microcosm & Macrocosm,407425,1iA2jIDQrUYvoolNzApfVi,2RgpaPTnmNYJBO702p1jf6,TCAEP2097797
