Track Number,Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
0,Phil Vassar,Little Red Rodeo,203680,166uOnqKj9iSOp4GYqoDOj,1XhhO2dTs2fKyhILj0aam6,USAN20500140
1,Josh Turner,Would You Go With Me,228186,1KhrAWvLIjRlQIJtSTgvsi,7vCtweS8UVAXTyau2j0rDT,USUM70504291
2,Keith Urban,Days Go By,224629,2jwaErbghhcia4JqUYWz3g,0u2FHSq3ln94y5Q57xazwf,USCN10400100
3,Sawyer Brown,Six Days On The Road,173426,4OCFCX4RSZl8esUMtt3muO,50hFWG3MaUUX5phNrrVc97,USCRB0302047
4,Dan Seals,Bop,226266,0VWPd2zYt1430jL6XtUjep,55yEsJBqyn27JPsw5hHzqi,USCN18600066
5,Brooks & Dunn,You Can't Take the Honky Tonk out of the Girl,208933,56LfnhlS3xvjtCpXWOxleW,0XKOBt59crntr7HQXXO8Yz,USAN20200076
6,Travis Tritt,I'm Gonna Be Somebody,244933,4ICSwxlVyGaTquNqblL7Y9,2M4Yt7oKGoYd0wqU44k4i2,USWB10902603
