Track Number,Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
0,Boyz II Men,I'll Make Love To You,236773,61sQYdFNS6sEBYCyr1q5gn,6O74knDqdv3XaWtkII7Xjp,USMO19400340
1,Brian McKnight,Back At One,263666,6mwA6YiKDjAUG8kWvRRUPh,6k0IBR0lU42s2GYpNX7kA9,USMO19900016
2,98º,I Do (Cherish You),226733,0p5Bv16XNo5B7AdeKD0H0F,6V03b3Y36lolYP2orXn8mV,USMO19883529
3,Boys Like Girls,Love Drunk,226706,20X9OeC606XNwEtDBOym5u,0vWCyXMrrvMlCcepuOJaGI,USSM10903442
4,Good Charlotte,I Don't Wanna Be In Love (Dance Floor Anthem),244000,36UVZPoK8a1Oxh13cY8kOp,5aYyPjAsLj7UzANzdupwnS,USSM10607447
5,Evanescence,Bring Me To Life,235893,0COqiPhxzoWICwFCS4eZcp,5nGIFgo0shDenQYSE0Sn7c,USWU30200093
6,Evanescence,My Immortal,262533,4UzVcXufOhGUwF56HT7b8M,5nGIFgo0shDenQYSE0Sn7c,USWU30200104
7,Evanescence,Going Under,214946,3UygY7qW2cvG9Llkay6i1i,5nGIFgo0shDenQYSE0Sn7c,USWU30200108
8,Evanescence,Call Me When You're Sober,214706,663Karu2rvKLdnY0eo1n3M,5nGIFgo0shDenQYSE0Sn7c,USWU30600102
