Track Number,Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
0,"""Weird Al"" Yankovic",The Biggest Ball of Twine In Minnesota,408013,3i3HEXZRAQ4d7SQeB0098V,1bDWGdIC2hardyt55nlQgG,USVR10400216
1,Fozzie,"Movin' Right Along - From ""The Muppet Movie""/Soundtrack Version",177626,03AnzlzStcTSuyUftozMDV,7l1UtP9HDcanyFwHs3abSw,USWD11264441
2,Arrogant Worms,The Last Saskatchewan Pirate,210506,5XbtJ6R2QSEbnbkHG25Ncj,3o7cN4B2dPVXUONgxTZWWx,UST8K1420739
3,Gordon Lightfoot,The Wreck of the Edmund Fitzgerald,389280,536L9C0N7vhYdibCJx3cI2,23rleGXVOVVgTk3xgtmfE4,USRE10901163
4,Stan Rogers,Northwest Passage,289573,4WKs2iDdrR2fA8T3hlCanB,3cS04S9ChhEClgDghrhOzg,CAFB50900401
5,Spirit Of The West,Home For A Rest,276173,08FFZ8CPXkGYe3G8yYRdjl,1wheYCHOG8jXrzyqvbEjKH,CAW119000447
6,Village People,Go West,251466,5v67uga7IFT3FQhDDBgaY8,0dCKce6tJJdHvlWnDMwzPW,USUM71404225
7,Darius Rucker,Wagon Wheel,298373,3xdjjKMcMOFgo1eQrfbogM,7FY5V3XMwlNBPitEjXowHQ,USCN11200248
8,Otis Redding,(Sittin' On) the Dock of the Bay,163755,3zBhihYUHBmGd2bcQIobrF,60df5JBRRPcnSpsIMxxwQm,USAT21403443
