Track Number,Artist,Title,Duration,Spotify ID,Artist Spotify ID,ISRC_ID
0,Alanis Morissette,Ironic,225933,4oGTdOClZUxcM2H3UmXlwL,6ogn9necmbUdCppmNnGOdi,USMV29400003
1,Korn,"Another Brick in the Wall, Pt. 1, 2, 3 - Pink Floyd Cover",427973,39SHjPPvNVW2H9rSsGGOPD,3RNrq3jvMZxD9ZyoOZbQOD,USSM10412369
2,Gordon Lightfoot,The Wreck of the Edmund Fitzgerald,389280,536L9C0N7vhYdibCJx3cI2,23rleGXVOVVgTk3xgtmfE4,USRE10901163
3,Gordon Lightfoot,If You Could Read My Mind,229560,0fjYN9BylnRXMA3or3QSld,23rleGXVOVVgTk3xgtmfE4,USRE19900467
4,The Hidden Cameras,Log Driver's Waltz,185693,20Y7uwm6kRi9JJDoOCWzRc,6qJSWLT4bvL49hEyXxc3G9,CAO371610506
5,Default,Wasting My Time,269306,5dpAN1mjFPL38kh9kWsCiw,4nCzT3o7lMgCWBcmdwCMsT,USTV10100094
